,name,location_name,longitude,latitude,vertical,is_nordic,is_alpine_xc,is_xc_only,is_allied,num_trails,num_lifts,is_open_nights,has_terrain_parks,web_page,is_alpine_xc_display,is_open_nights_display,has_terrain_parks_display,is_allied_display
379,Mt. Holiday,"Traverse City, MI",-85.5135188,44.7423148,"{'elevation': 200, 'summit': 440, 'base': 240}",False,False,False,False,12,4,True,True,https://www.indyskipass.com/our-resorts/mt-holiday,No,Yes,Yes,No
181,Mt. Hood Meadows,"Mt. Hood, OR, USA",-121.6677651,45.3317552,"{'elevation': 1939, 'summit': 7305, 'base': 5366}",True,True,False,False,142,12,True,True,https://www.indyskipass.com/our-resorts/mt-hood-meadows,Yes,Yes,Yes,No
169,Mt. Racey Ski Resort,"Yubari, Hokkaido",141.9688449,43.0503785,"{'elevation': 1326, 'summit': 2303, 'base': 977}",False,False,False,False,18,4,False,True,https://www.indyskipass.com/our-resorts/mt-racey-ski-resort,No,No,Yes,No
116,Mt. Shasta,"Mount Shasta, CA, USA",-122.2060823,41.321106,"{'elevation': 2036, 'summit': 7536, 'base': 5500}",True,True,False,False,38,6,True,True,https://www.indyskipass.com/our-resorts/mt-shasta,Yes,Yes,Yes,No
332,Mt. Washington,,-125.26140942545,49.804509751028,"{'elevation': 1657, 'summit': None, 'base': None}",False,False,False,False,81,11,False,True,https://www.indyskipass.com/our-resorts/mt-washington,No,No,Yes,No
360,Muica Snow Resort,"Minamiuonuma, Niigata, Japan",138.8433196,37.0719009,"{'elevation': 1312, 'summit': 2454, 'base': 1142}",False,False,False,False,12,4,False,True,https://www.indyskipass.com/our-resorts/muica-snow-resort,No,No,Yes,No
354,Nayoro Piyashiri Ski Resort,"Nisshin, Nayoro City, Hokkaido, Japan",142.51389060792,44.404547241474,"{'elevation': 1578, 'summit': 2211, 'base': 633}",False,False,False,False,12,3,True,False,https://www.indyskipass.com/our-resorts/nayoro-piyashiri-ski-resort,No,Yes,No,No
295,Nelson Nordic Ski Club,"Nelson, BC, CA",-117.2137275,49.409235,{},True,False,True,False,15,,True,False,https://www.indyskipass.com/our-resorts/nelson-nordic-ski-club,No,Yes,No,No
311,Nickel Plate Cross Country Ski Club,"Hedley, BC, CA",-119.9567878,49.383699,{},True,False,True,False,28,,False,False,https://www.indyskipass.com/our-resorts/nickel-plate-cross-country-ski-club,No,No,No,No
358,Ninox Snow Park,"Niigata, Shibata, Kamisanko, 大平国有林無番地",139.4653277,37.9268164,"{'elevation': 709, 'summit': 1748, 'base': 1040}",False,False,False,False,2,2,True,True,https://www.indyskipass.com/our-resorts/ninox-snow-park,No,Yes,Yes,No
117,Nordic Mountain,"Wild Rose, WI, USA",-89.1838618,44.1214576,"{'elevation': 265, 'summit': 1190, 'base': 925}",False,False,False,False,16,5,True,True,https://www.indyskipass.com/our-resorts/nordic-mountain,No,Yes,Yes,No
386,Norway Mountain,"Norway, MI",-87.8724272,45.7894874,"{'elevation': 500, 'summit': 1335, 'base': 835}",False,False,False,False,17,6,False,True,https://www.indyskipass.com/our-resorts/norway-mountain,No,No,Yes,No
118,Nubs Nob,"Harbor Springs, MI, USA",-84.9069303,45.471166,"{'elevation': 425, 'summit': 1350, 'base': 925}",False,False,False,False,53,10,True,True,https://www.indyskipass.com/our-resorts/nubs-nob-0,No,Yes,Yes,No
