resort_id,source,source_id
85774bfe-1d6e-40a8-a312-3d29c257c9a6,indy,jackson-xc
001935d4-6a03-4f28-ae18-b1186148f25a,indy,jay-peak-resort
7bc9bfc2-631d-40c9-9147-a8d8cda3cb36,indy,kamui-ski-links
f8127ac2-ef8c-4068-934d-26348e23019e,indy,kaunertaler-gletscher
4388619d-4ee4-4d79-bbf5-ab230b541eb7,indy,kaya-palazzo-kartalkaya-ski-mountain-resort
476918de-a1e6-4104-b45e-2edf8294367c,indy,kelly-canyon
de63e361-e998-440a-8377-a065e69fecf1,indy,kimberley-nordic-club
e19f50a3-50ff-4371-865f-787e821af71e,indy,king-pine
bf49d31e-764b-42bf-ba15-b1e5b6dd3763,indy,kiroro-snow-world
2f8ad3d7-9f42-4931-9857-673098cd3e41,indy,leavenworth-winter-sports-club
d9dd0df9-b3de-4433-bcaa-19e22688c55f,indy,les-7-laux
7b1f280b-a46b-41e2-909b-090b232332cf,indy,leukerbad-torrent-ski-resort-gemmi-resort
6fc534df-d54a-496f-b225-70862811517f,indy,levi-finland
6aa9bddf-5a76-4783-a505-23b17326433f,indy,little-ski-hill
afe2632d-4bd9-4ad9-9eb8-e63ee6899c6e,indy,little-switzerland
7e684b90-c14c-4d92-91f8-cbd81f7ed9f1,indy,loch-lomond
4a2134c7-654a-4a2c-9c41-97b39d0d29fe,indy,loge-glacier
b44220d9-a654-4353-ab7c-c3977065fa59,indy,lost-trail-powder-mountain
897dfdb4-abdd-4928-8b5b-870b36b202dd,indy,lost-valley
d7ff9d26-1cb5-4954-a49a-1a2507bdaeb1,indy,loup-loup-ski-bowl
9c1e89ca-bae1-4c8b-a2a3-12b9821b3d1e,indy,loveland-ski-area
861ebeee-2fc7-49b7-a596-aee60f0ec805,indy,lutsen-mountains
73900c05-1427-43fd-b236-7182c6cebde6,indy,magic-mountain
329cb4dd-1e87-4fda-86d1-9605a1fa8824,indy,magic-mountain-idaho
451b3505-89e9-4952-8fc1-b53c37fd2c4d,indy,maiko-resort
6330b29c-3a08-427b-95dc-604e13761f6d,indy,mala-upa
b2fc6a69-a0e9-4877-8ace-f7b3c7b9b787,indy,manning-park
a139d5f8-05cf-4f2d-b369-5dd9db75b498,indy,manning-park-xc
d9a9552a-dc47-4462-adf5-12a0c0cca578,indy,maple-ski-ridge
f0ec4148-fde3-4306-882c-6e4c3ad838be,indy,maplelag-resort
8740c841-3460-4b7a-bb3d-9a0df2e03e5c,indy,marble-mountain
c0177fbe-41ec-42b6-903f-cfbfca6ee428,indy,marquette-mountain
8159d32d-1c14-490d-a637-0c39832be1ab,indy,massanutten-resort
f7483cf8-7412-4a91-9c42-004cac4263bc,indy,massif-du-sud
62334ae0-32f4-42d6-83be-b2ed1eac1c8c,indy,mcintyre-ski-area
1e524f22-ddd3-4692-9a29-a457bef21f91,indy,meadowlark-ski-resort
a555936f-7b9d-4deb-9c1f-f249fd180f1a,indy,methow-trails-xc
874ad51f-3753-4e91-a3b2-6c5ab192d5d8,indy,middlebury-snowbowl
1eb1edf8-77cf-4102-ad93-b1174067e823,indy,minocqua-winter-park
c12ee850-862d-418b-875d-147ca9d0d919,indy,mission-ridge
3c9c38a7-57fd-47c8-aaf5-28adb5c24e80,indy,mohawk-mountain
7134cd40-892a-43c6-9533-e34476224463,indy,mont-edouard
dffcde2e-0955-4b41-abc5-0012e6afee9c,indy,mont-habitant
aa0bb630-4018-4731-9cb7-cefb31d3cb0c,indy,mont-rigaud
